DUID,Fuel Source - Descriptor,Region,Station Name
WOOLGSF1,Solar,QLD1,Woolooga Solar Farm
WUNUSF1,Solar,VIC1,Wunghnu Solar Farm
WYASF1,Solar,NSW1,Wyalong Solar Farm
WYANGALA,Water,NSW1,Wyangala A Power Station
WYANGALB,Water,NSW1,Wyangala B Power Station
YWPS1,Brown Coal,VIC1,Yallourn 'W' Power Station
YWPS2,Brown Coal,VIC1,Yallourn 'W' Power Station
YWPS3,Brown Coal,VIC1,Yallourn 'W' Power Station
YWPS4,Brown Coal,VIC1,Yallourn 'W' Power Station
YSWF1,Wind,VIC1,Yaloak South Wind Farm
YAMBUKWF,Wind,VIC1,Yambuk Wind Farm
YARANSF1,Solar,QLD1,Yarranlea Solar Farm
YWNGAHYD,Water,VIC1,Yarrawonga Hydro Power Station
YARWUN_1,Natural Gas,QLD1,Yarwun Power Station
YATSF1,Solar,VIC1,Yatpool Solar Farm
YAWWF1,Wind,VIC1,Yawong Wind Farm
YENDWF1,Wind,VIC1,Yendon Wind Farm
LDBESS1,Grid,NSW1,Liddell Battery Energy Storage System
SWANBBF1,Grid,QLD1,Swanbank BESS
